precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,5,463,Twiceday,Fallowmoon,14,80,65,49,5,Prevailing Direction,85,70,Normal,2.5,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),15,464,Thriceday,Fallowmoon,15,80,60,57,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,50,30,15,10
Heavy Rain (<1.5 inch),25,465,Fourday,Fallowmoon,16,75,55,51,25,Prevailing Direction,80,55,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
No Precipitation,10,466,Freeday,Fallowmoon,17,80,60,42,10,Prevailing Direction,85,65,Normal,5,-,-,-,500,300,50,25
No Precipitation,10,467,Godsday,Fallowmoon,18,80,60,65,10,Prevailing Direction,85,65,Normal,5,-,-,-,500,300,50,25
No Precipitation,25,468,Moonday,Fallowmoon,19,75,55,70,25,Prevailing Direction,80,55,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,10,469,Twiceday,Fallowmoon,20,80,65,44,10,From Tropics,85,70,Normal,5,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),20,470,Thriceday,Fallowmoon,21,75,55,58,20,From Arctic,80,55,Normal,10,0/-1/-2/-3,-,-,50,30,15,10
Heavy Rain (<1.5 inch),30,471,Fourday,Fallowmoon,22,70,55,59,30,Prevailing Direction,70,55,Normal,15,-1/-2/-3/X,-1,0.75,50,30,15,10
Heavy Rain (<1.5 inch),0,472,Freeday,Fallowmoon,23,80,65,49,0,Indescernable,85,70,Normal,0,-,-,-,50,30,15,10
No Precipitation,15,473,Godsday,Fallowmoon,24,75,55,67,15,From Arctic,80,60,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,474,Moonday,Fallowmoon,25,70,55,68,30,Prevailing Direction,70,55,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,45,475,Twiceday,Fallowmoon,26,70,50,55,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,476,Thriceday,Fallowmoon,27,80,60,49,30,From Tropics,85,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),40,477,Fourday,Fallowmoon,28,75,55,61,40,Prevailing Direction,75,55,Normal,20,-2/-4/X/X,-3,2/3,150,100,25,15
Heavy Rain (<1.5 inch),30,478,Freeday,Fallowmoon,29,80,65,47,30,From Tropics,85,65,Normal,15,-1/-2/-3/X,-1,0.75,50,30,15,10
No Precipitation,30,479,Godsday,Fallowmoon,30,80,65,59,30,Prevailing Direction,85,65,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,45,480,Moonday,Midsummer,1,80,60,90,45,Prevailing Direction,85,60,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Rain (<1/2 inch),35,481,Twiceday,Midsummer,2,85,65,83,35,From Tropics,95,70,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,482,Thriceday,Midsummer,3,80,65,87,45,Prevailing Direction,85,65,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,483,Fourday,Midsummer,4,80,60,86,45,Prevailing Direction,85,60,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Rain (<1/2 inch),35,484,Freeday,Midsummer,5,80,65,77,35,Prevailing Direction,85,70,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,20,485,Godsday,Midsummer,6,85,65,75,20,Prevailing Direction,95,70,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,35,486,Moonday,Midsummer,7,80,65,79,35,Prevailing Direction,85,70,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),45,487,Twiceday,Midsummer,8,75,55,84,45,From Arctic,80,55,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Trace Rain (<1/8 inch),45,488,Thriceday,Midsummer,9,70,55,84,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Trace Rain (<1/8 inch),35,489,Fourday,Midsummer,10,80,60,88,35,From Tropics,85,65,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,490,Freeday,Midsummer,11,75,55,75,45,Prevailing Direction,80,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),45,491,Godsday,Midsummer,12,70,55,87,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,492,Moonday,Midsummer,13,70,55,73,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,493,Twiceday,Midsummer,14,70,50,75,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,494,Thriceday,Midsummer,15,70,55,87,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),35,495,Fourday,Midsummer,16,80,60,72,35,From Tropics,85,65,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,35,496,Freeday,Midsummer,17,80,60,72,35,Prevailing Direction,85,65,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),45,497,Godsday,Midsummer,18,70,55,78,45,From Arctic,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,498,Moonday,Midsummer,19,70,50,89,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,499,Twiceday,Midsummer,20,75,55,84,30,Prevailing Direction,80,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,500,Thriceday,Midsummer,21,75,55,78,30,Prevailing Direction,80,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,501,Fourday,Midsummer,22,75,55,88,30,Prevailing Direction,80,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,502,Freeday,Midsummer,23,75,55,87,30,Prevailing Direction,80,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),40,503,Godsday,Midsummer,24,70,50,84,40,From Arctic,70,50,Normal,20,-2/-4/X/X,-3,2/3,150,100,25,15
Trace Rain (<1/8 inch),30,504,Moonday,Midsummer,25,70,55,84,30,Prevailing Direction,75,60,Normal,15,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,30,505,Twiceday,Midsummer,26,70,55,78,30,Prevailing Direction,75,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,506,Thriceday,Midsummer,27,70,55,88,30,Prevailing Direction,75,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),20,507,Fourday,Midsummer,28,80,60,86,20,From Tropics,85,65,Normal,10,0/-1/-2/-3,-,-,150,100,25,15
Light Rain (<1/2 inch),10,508,Freeday,Midsummer,29,80,65,75,10,Prevailing Direction,90,75,Normal,5,-,-,-,400,250,50,25
Moderate Rain (<3/4 inch),0,509,Godsday,Midsummer,30,85,70,71,0,Indescernable,100,80,Normal,0,-,-,-,150,100,25,15
No Precipitation,15,510,Moonday,Haymoon,1,80,65,87,15,Prevailing Direction,90,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),5,511,Twiceday,Haymoon,2,85,70,83,5,From Tropics,100,80,Normal,2.5,-,-,-,50,30,15,10
Heavy Rain (<1.5 inch),0,512,Thriceday,Haymoon,3,85,70,90,0,Indescernable,100,80,Normal,0,-,-,-,50,30,15,10
Heavy Rain (<1.5 inch),10,513,Fourday,Haymoon,4,80,65,87,10,From Arctic,90,75,Normal,5,-,-,-,50,30,15,10
Moderate Rain (<3/4 inch),0,514,Freeday,Haymoon,5,85,65,85,0,Indescernable,100,75,Normal,0,-,-,-,150,100,25,15
No Precipitation,0,515,Godsday,Haymoon,6,85,65,71,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),10,516,Moonday,Haymoon,7,80,65,76,10,Prevailing Direction,90,75,Normal,5,-,-,-,50,30,15,10
No Precipitation,25,517,Twiceday,Haymoon,8,80,60,87,25,Prevailing Direction,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Heavy Rain (<1.5 inch),35,518,Thriceday,Haymoon,9,75,55,74,35,Prevailing Direction,80,60,Normal,17.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,45,519,Fourday,Haymoon,10,70,50,84,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,520,Freeday,Haymoon,11,70,55,90,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,521,Godsday,Haymoon,12,70,50,77,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,522,Moonday,Haymoon,13,80,60,90,30,From Tropics,85,65,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,45,523,Twiceday,Haymoon,14,75,55,71,45,Prevailing Direction,80,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),45,524,Thriceday,Haymoon,15,70,50,78,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
Heavy Rain (<1.5 inch),0,525,Fourday,Haymoon,16,70,50,78,0,Indescernable,80,50,Normal,0,-,-,-,50,30,15,10
Heavy Rain (<1.5 inch),10,526,Freeday,Haymoon,17,70,50,83,10,Prevailing Direction,80,50,Normal,5,-,-,-,50,30,15,10
Heavy Rain (<1.5 inch),0,527,Godsday,Haymoon,18,75,55,81,0,Indescernable,85,65,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,528,Moonday,Haymoon,19,80,60,75,0,Indescernable,90,70,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),10,529,Twiceday,Haymoon,20,75,55,81,10,Prevailing Direction,85,65,Normal,5,-,-,-,150,100,25,15
Heavy Rain (<1.5 inch),0,530,Thriceday,Haymoon,21,80,65,89,0,Indescernable,90,75,Normal,0,-,-,-,50,30,15,10
Heavy Rain (<1.5 inch),0,531,Fourday,Haymoon,22,85,65,84,0,Indescernable,100,75,Normal,0,-,-,-,50,30,15,10
Moderate Rain (<3/4 inch),0,532,Freeday,Haymoon,23,85,70,83,0,Indescernable,100,80,Normal,0,-,-,-,150,100,25,15
Heavy Rain (<1.5 inch),0,533,Godsday,Haymoon,24,85,70,75,0,Indescernable,100,80,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,534,Moonday,Haymoon,25,85,70,84,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,535,Twiceday,Haymoon,26,80,65,85,15,Prevailing Direction,90,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),25,536,Thriceday,Haymoon,27,75,55,74,25,From Arctic,80,60,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
No Precipitation,25,537,Fourday,Haymoon,28,75,55,88,25,Prevailing Direction,80,60,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),15,538,Freeday,Haymoon,29,80,65,89,15,From Tropics,90,75,Normal,7.5,0/-1/-2/-3,-,-,150,100,25,15
Moderate Rain (<3/4 inch),0,539,Godsday,Haymoon,30,70,55,74,0,Indescernable,80,65,Extreme Precipitation,0,-,-,-,150,100,25,15
No Precipitation,0,540,Moonday,Harvest,1,70,55,88,0,Indescernable,80,65,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),0,541,Twiceday,Harvest,2,75,55,77,0,Indescernable,85,65,Normal,0,-,-,-,400,250,50,25
Light Rain (<1/2 inch),10,542,Thriceday,Harvest,3,70,50,88,10,From Arctic,80,50,Normal,5,-,-,-,400,250,50,25
No Precipitation,25,543,Fourday,Harvest,4,70,50,80,25,Prevailing Direction,75,50,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Light Rain (<1/2 inch),35,544,Freeday,Harvest,5,70,50,71,35,Prevailing Direction,75,50,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
Moderate Rain (<3/4 inch),50,545,Godsday,Harvest,6,70,50,86,50,Prevailing,70,50,Gale,25,-4/-6/X/X,-4,0.5,150,100,25,15
No Precipitation,45,546,Moonday,Harvest,7,70,55,85,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),45,547,Twiceday,Harvest,8,70,50,83,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,30,548,Thriceday,Harvest,9,80,60,76,30,From Tropics,85,65,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,15,549,Fourday,Harvest,10,85,65,77,15,From Tropics,100,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Moderate Rain (<3/4 inch),5,550,Freeday,Harvest,11,85,65,75,5,Prevailing Direction,100,75,Normal,2.5,-,-,-,150,100,25,15
No Precipitation,5,551,Godsday,Harvest,12,80,65,81,5,Prevailing Direction,90,75,Normal,2.5,-,-,-,500,300,50,25
Light Rain (<1/2 inch),0,552,Moonday,Harvest,13,85,65,79,0,Indescernable,100,75,Normal,0,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),10,553,Twiceday,Harvest,14,80,65,79,10,Prevailing Direction,90,75,Normal,5,-,-,-,400,250,50,25
Moderate Rain (<3/4 inch),20,554,Thriceday,Harvest,15,75,55,88,20,From Arctic,80,60,Normal,10,0/-1/-2/-3,-,-,150,100,25,15
No Precipitation,20,555,Fourday,Harvest,16,75,55,78,20,Prevailing Direction,80,60,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Light Rain (<1/2 inch),10,556,Freeday,Harvest,17,80,65,87,10,From Tropics,90,75,Normal,5,-,-,-,400,250,50,25
No Precipitation,10,557,Godsday,Harvest,18,80,65,87,10,Prevailing Direction,90,75,Normal,5,-,-,-,500,300,50,25
No Precipitation,10,558,Moonday,Harvest,19,80,65,74,10,Prevailing Direction,90,75,Normal,5,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,559,Twiceday,Harvest,20,70,55,80,0,Indescernable,80,65,Normal,0,-,-,-,150,100,25,15
Light Rain (<1/2 inch),10,560,Thriceday,Harvest,21,70,50,82,10,Prevailing Direction,80,50,Normal,5,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),20,561,Fourday,Harvest,22,70,50,74,20,From Arctic,75,50,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,5,562,Freeday,Harvest,23,80,60,88,5,From Tropics,90,70,Normal,2.5,-,-,-,500,300,50,25
No Precipitation,20,563,Godsday,Harvest,24,70,55,89,20,From Arctic,75,60,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Moderate Rain (<3/4 inch),30,564,Moonday,Harvest,25,70,50,75,30,Prevailing Direction,75,50,Normal,15,-1/-2/-3/X,-1,0.75,150,100,25,15
No Precipitation,45,565,Twiceday,Harvest,26,70,50,75,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,566,Thriceday,Harvest,27,80,60,86,30,From Tropics,85,65,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Light Rain (<1/2 inch),20,567,Fourday,Harvest,28,80,65,75,20,Prevailing Direction,85,70,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,20,568,Freeday,Harvest,29,80,65,72,20,Prevailing Direction,85,70,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Light Rain (<1/2 inch),10,569,Godsday,Harvest,30,85,65,82,10,Prevailing Direction,100,75,Normal,5,-,-,-,400,250,50,25
Heavy Rain (<1.5 inch),0,570,Moonday,Ambyrwoodmoon,1,85,65,51,0,Indescernable,95,70,Normal,0,-,-,-,50,30,15,10
Heavy Rain (<1.5 inch),0,571,Twiceday,Ambyrwoodmoon,2,85,65,44,0,Indescernable,95,70,Normal,0,-,-,-,50,30,15,10
No Precipitation,15,572,Thriceday,Ambyrwoodmoon,3,80,60,48,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,573,Fourday,Ambyrwoodmoon,4,75,55,62,30,Prevailing Direction,80,55,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,15,574,Freeday,Ambyrwoodmoon,5,80,60,60,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),25,575,Godsday,Ambyrwoodmoon,6,75,55,55,25,Prevailing Direction,80,55,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
Heavy Rain (<1.5 inch),35,576,Moonday,Ambyrwoodmoon,7,70,50,61,35,From Arctic,70,50,Normal,17.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,35,577,Twiceday,Ambyrwoodmoon,8,70,50,53,35,Prevailing Direction,70,50,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),25,578,Thriceday,Ambyrwoodmoon,9,75,55,65,25,From Tropics,80,55,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
No Precipitation,25,579,Fourday,Ambyrwoodmoon,10,75,55,67,25,Prevailing Direction,80,55,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),35,580,Freeday,Ambyrwoodmoon,11,70,50,53,35,From Arctic,70,50,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,45,581,Godsday,Ambyrwoodmoon,12,65,45,54,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),45,582,Moonday,Ambyrwoodmoon,13,65,45,70,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,45,583,Twiceday,Ambyrwoodmoon,14,70,50,41,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,584,Thriceday,Ambyrwoodmoon,15,75,55,66,30,From Tropics,80,55,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,45,585,Fourday,Ambyrwoodmoon,16,70,55,51,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),45,586,Freeday,Ambyrwoodmoon,17,65,45,43,45,From Arctic,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
Moderate Rain (<3/4 inch),35,587,Godsday,Ambyrwoodmoon,18,70,50,61,35,Prevailing Direction,70,50,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
Heavy Rain (<1.5 inch),25,588,Moonday,Ambyrwoodmoon,19,75,55,45,25,From Tropics,80,55,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
Moderate Rain (<3/4 inch),15,589,Twiceday,Ambyrwoodmoon,20,80,60,55,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,150,100,25,15
Heavy Rain (<1.5 inch),0,590,Thriceday,Ambyrwoodmoon,21,85,65,53,0,Indescernable,95,70,Morning Mist/Fog: 2 hours,0,-,-,-,50,30,15,10
No Precipitation,0,591,Fourday,Ambyrwoodmoon,22,80,65,65,0,Indescernable,85,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,592,Freeday,Ambyrwoodmoon,23,85,65,46,0,Indescernable,95,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,593,Godsday,Ambyrwoodmoon,24,85,65,49,0,Indescernable,95,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,594,Moonday,Ambyrwoodmoon,25,85,65,53,0,Indescernable,95,70,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),10,595,Twiceday,Ambyrwoodmoon,26,80,65,63,10,Prevailing Direction,85,70,Normal,5,-,-,-,50,30,15,10
No Precipitation,10,596,Thriceday,Ambyrwoodmoon,27,80,65,58,10,Prevailing Direction,85,70,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,597,Fourday,Ambyrwoodmoon,28,85,65,61,0,Indescernable,95,70,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,598,Freeday,Ambyrwoodmoon,29,85,65,56,0,Indescernable,95,70,Normal,0,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),0,599,Godsday,Ambyrwoodmoon,30,85,65,62,0,Indescernable,95,70,Normal,0,-,-,-,150,100,25,15
No Precipitation,0,600,Moonday,Wintermoon,1,85,65,87,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,601,Twiceday,Wintermoon,2,80,60,71,15,Prevailing Direction,90,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,602,Thriceday,Wintermoon,3,80,65,87,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,603,Fourday,Wintermoon,4,85,65,88,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),10,604,Freeday,Wintermoon,5,80,65,82,10,Prevailing Direction,90,75,Normal,5,-,-,-,150,100,25,15
No Precipitation,25,605,Godsday,Wintermoon,6,80,60,79,25,Prevailing Direction,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,10,606,Moonday,Wintermoon,7,85,65,86,10,From Tropics,100,75,Normal,5,-,-,-,500,300,50,25
No Precipitation,10,607,Twiceday,Wintermoon,8,80,65,81,10,Prevailing Direction,90,75,Normal,5,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,608,Thriceday,Wintermoon,9,85,65,71,0,Indescernable,100,75,Normal,0,-,-,-,150,100,25,15
No Precipitation,0,609,Fourday,Wintermoon,10,80,65,80,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),10,610,Freeday,Wintermoon,11,75,55,82,10,From Arctic,85,65,Normal,5,-,-,-,400,250,50,25
Light Rain (<1/2 inch),0,611,Godsday,Wintermoon,12,80,60,85,0,Indescernable,90,70,Normal,0,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),0,612,Moonday,Wintermoon,13,80,65,78,0,Indescernable,90,75,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,613,Twiceday,Wintermoon,14,85,65,72,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),10,614,Thriceday,Wintermoon,15,80,65,82,10,Prevailing Direction,90,75,Normal,5,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),0,615,Fourday,Wintermoon,16,85,65,82,0,Indescernable,100,75,Morning Mist/Fog: 4 hours,0,-,-,-,150,100,25,15
No Precipitation,0,616,Freeday,Wintermoon,17,80,65,85,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),10,617,Godsday,Wintermoon,18,75,55,90,10,From Arctic,85,65,Normal,5,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),0,618,Moonday,Wintermoon,19,65,45,83,0,Indescernable,75,45,Extreme Precipitation,0,-,-,-,150,100,25,15
Trace Rain (<1/8 inch),10,619,Twiceday,Wintermoon,20,65,45,85,10,Prevailing Direction,75,45,Normal,5,-,-,-,400,250,50,25
No Precipitation,0,620,Thriceday,Wintermoon,21,70,55,76,0,Indescernable,80,65,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,621,Fourday,Wintermoon,22,70,55,77,0,Indescernable,80,65,Normal,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),10,622,Freeday,Wintermoon,23,70,50,88,10,Prevailing Direction,80,50,Normal,5,-,-,-,400,250,50,25
Light Rain (<1/2 inch),20,623,Godsday,Wintermoon,24,65,45,84,20,Prevailing Direction,70,45,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
Moderate Rain (<3/4 inch),30,624,Moonday,Wintermoon,25,65,45,86,30,Prevailing Direction,70,45,Normal,15,-1/-2/-3/X,-1,0.75,150,100,25,15
Moderate Rain (<3/4 inch),40,625,Twiceday,Wintermoon,26,65,45,88,40,Prevailing Direction,65,45,Normal,20,-2/-4/X/X,-3,2/3,150,100,25,15
Moderate Rain (<3/4 inch),30,626,Thriceday,Wintermoon,27,70,50,90,30,Prevailing Direction,75,50,Normal,15,-1/-2/-3/X,-1,0.75,150,100,25,15
No Precipitation,45,627,Fourday,Wintermoon,28,65,45,77,45,From Arctic,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),0,628,Freeday,Wintermoon,29,75,55,88,0,Indescernable,85,65,Normal,0,-,-,-,150,100,25,15
No Precipitation,15,629,Godsday,Wintermoon,30,70,50,89,15,From Arctic,80,50,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,630,Moonday,Bloodmoon,1,65,45,74,30,Prevailing Direction,70,45,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,45,631,Twiceday,Bloodmoon,2,65,45,85,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),35,632,Thriceday,Bloodmoon,3,70,50,85,35,Prevailing Direction,75,50,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
Heavy Rain (<1.5 inch),25,633,Fourday,Bloodmoon,4,70,55,76,25,Prevailing Direction,75,60,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
Heavy Rain (<1.5 inch),15,634,Freeday,Bloodmoon,5,80,60,83,15,From Tropics,90,70,Normal,7.5,0/-1/-2/-3,-,-,50,30,15,10
Heavy Rain (<1.5 inch),25,635,Godsday,Bloodmoon,6,75,55,73,25,Prevailing Direction,80,60,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
No Precipitation,10,636,Moonday,Bloodmoon,7,80,60,85,10,Prevailing Direction,90,70,Normal,5,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),20,637,Twiceday,Bloodmoon,8,70,55,79,20,From Arctic,75,60,Normal,10,0/-1/-2/-3,-,-,50,30,15,10
No Precipitation,35,638,Thriceday,Bloodmoon,9,65,45,78,35,From Arctic,70,45,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),45,639,Fourday,Bloodmoon,10,65,45,79,45,From Arctic,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,30,640,Freeday,Bloodmoon,11,75,55,85,30,From Tropics,80,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,641,Godsday,Bloodmoon,12,75,55,85,30,Prevailing Direction,80,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,45,642,Moonday,Bloodmoon,13,70,55,85,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
